"Page Title:","Home | University of Illinois Urbana-Champaign"
"Page URL:","https://illinois.edu/"
"Date:","2022-08-29"
"Time:","14:17:25"
"Source:","AInspector 2.1.beta1"


"Rule ID","COLOR 1"
"Summary","Text must exceed CCR threshold"
"Definition","Text content must exceed Color Contrast Ratio (CCR) of 3.1 for large and/or bolded text and 4.5 for any other size or style of text."
"WCAG Success Criteria","Success Criterion 1.4.3 Contrast (Minimum) (Primary)"
"Compliance","WCAG Level AA, Required"
"Rule Scope","element"

"Number of results with"
"Violations","3"
"Warnings","0"
"Manual Checks","0"
"Passed","262"
"Hidden","92"

"Element Results"
"element","result","resultValue","position","role","action","name","name source","color contrast ratio","color","color hex","background color","background color hex","font family","font size","font weight","large font","background image","background repeat","background position","href","tabindex","class","onclick","style","target","id","for","rel","aria-label"
"a","V","5","5","link","CCR of 1.6 for large or bolded text, adjust foreground and background colors to exceed 3.1.","Skip to main content","contents","1.6","rgb(0, 0, 238)","#0000ee","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","#content-main","1","","","","","","","",""
"h2","V","5","16","heading","CCR of 1.7, adjust foreground and background colors to exceed 4.5.","Search","contents","1.7","rgb(68, 77, 86)","#444d56","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","12","600","no","none","repeat","0% 0%","","","site-search-label-text","","","","","","",""
"a","V","5","704","link","CCR of 1 for large or bolded text, adjust foreground and background colors to exceed 3.1.","News Bureau website","contents","1","rgb(255, 255, 255)","#4d4d4d","rgb(68, 77, 86)","#444d56","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","http://news.illinois.edu/","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'news bureau'});","","","","","",""
"a","P","2","38","link","CCR of 8.6 exceeds 4.5.","Campus Directory","contents","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","14","400","no","none","repeat","0% 0%","https://directory.illinois.edu/search","","","","","","","","",""
"a","P","2","41","link","CCR of 8.6 exceeds 4.5.","Map","contents","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","14","400","no","none","repeat","0% 0%","https://map.illinois.edu/view","","","","","","","","",""
"a","P","2","44","link","CCR of 8.6 exceeds 4.5.","Library","contents","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","14","400","no","none","repeat","0% 0%","https://www.library.illinois.edu/","","","","","","","","",""
"span","P","2","49","generic","CCR of 16.1 exceeds 4.5.","","none","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","giving-link-1","","","","","","",""
"span","P","2","50","generic","CCR of 7.7 exceeds 4.5.","","none","7.7","rgb(174, 180, 188)","#aeb4bc","rgb(15, 32, 64)","#0f2040","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","giving-link-2","","","","","","",""
"h2","P","2","52","heading","CCR of 5.1 exceeds 4.5.","Resources for"":""","contents","5.1","rgb(106, 111, 119)","#6a6f77","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"a","P","2","55","link","CCR of 11.4 exceeds 4.5.","Students","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","students/index.html","","","","","","","","",""
