"Page Title:","WIDGET 6: Widgets must have properties"
"Page URL:","http://localhost/~jongunderson/evaluation-library/testsuite/rules/widgets/widget_6_properties.html"
"Date:","2022-08-23"
"Time:","10:38:33"
"Source:","AInspector 2.1.beta1"


"Rule ID","WIDGET 6"
"Summary","Widgets must set properties"
"Definition","Widgets must set required properties and states."
"WCAG Success Criteria","Success Criterion 4.1.2 Name, Role, Value (Primary)"
"Compliance","WCAG Level A, Required"
"Rule Scope","element"

"Number of results with"
"Violations","11"
"Warnings","0"
"Manual Checks","0"
"Passed","11"
"Hidden","9"

"Element Results"
"element","result","resultValue","position","role","action","name","name source","role","class","hidden","aria-expanded","aria-controls","aria-orientation","aria-valuemax","aria-valuemin","aria-valuenow","aria-checked","aria-selected"
"div","V","5","15","combobox","Add the required aria-expanded attribute to the combobox widget.","","none","combobox","WIDGET_6_FAIL","","","","","","","","",""
"div","V","5","22","scrollbar","Add the required aria-valuenow attribute to the scrollbar widget.","","none","scrollbar","WIDGET_6_FAIL","","","","","","","","",""
"div","V","5","27","checkbox","Add the required aria-checked attribute to the checkbox widget.","checkbox fail","contents","checkbox","WIDGET_6_FAIL","","","","","","","","",""
"div","V","5","31","menuitemcheckbox","Add the required aria-checked attribute to the menuitemcheckbox widget.","checkbox fail","contents","menuitemcheckbox","WIDGET_6_FAIL","","","","","","","","",""
"div","V","5","36","option","Add the required aria-selected attribute to the option widget.","slider fail","contents","option","WIDGET_6_FAIL","","","","","","","","",""
"div","V","5","40","slider","Add the required aria-valuenow attribute to the slider widget.","","none","slider","WIDGET_6_FAIL","","","","","","","","",""
"div","V","5","44","switch","Add the required aria-checked attribute to the switch widget.","switch fail","contents","switch","WIDGET_6_FAIL","","","","","","","","",""
"div","P","2","7","combobox","combobox widget has the required aria-expanded attribute with the value true.","","none","combobox","WIDGET_6_PASS","","true","ID_LISTBOX","","","","","",""
"div","P","2","11","combobox","combobox widget has the required aria-expanded attribute with the value true.","","none","combobox","WIDGET_6_PASS","","true","","","","","","",""
"div","P","2","13","combobox","combobox widget has the required aria-controls attribute with the value ID_LISTBOX.","","none","combobox","WIDGET_6_PASS","","","ID_LISTBOX","","","","","",""
"div","P","2","18","scrollbar","scrollbar widget has the required aria-valuenow attribute with the value 50.","","none","scrollbar","WIDGET_6_PASS","","","ID_SBAR_CONTROLS","vertical","100","0","50","",""
"div","P","2","25","checkbox","checkbox widget has the required aria-checked attribute with the value true.","checkbox pass","contents","checkbox","WIDGET_6_PASS","","","","","","","","true",""
"div","P","2","29","menuitemcheckbox","menuitemcheckbox widget has the required aria-checked attribute with the value true.","menuitemcheckbox pass","contents","menuitemcheckbox","WIDGET_6_PASS","","","","","","","","true",""
"div","P","2","34","option","option widget has the required aria-selected attribute with the value true.","slider pass","contents","option","WIDGET_6_PASS","","","","","","","","","true"
"div","P","2","38","slider","slider widget has the required aria-valuenow attribute with the value 10.","","none","slider","WIDGET_6_PASS","","","","","","","10","",""
"div","P","2","42","switch","switch widget has the required aria-checked attribute with the value true.","switch pass","contents","switch","WIDGET_6_PASS","","","","","","","","true",""
"div","H","1","9","combobox","Required ARA properties and states was not tested because the combobox widget is hidden from assistive technologies and/or not visible on screen.","","none","combobox","WIDGET_6_HIDDEN","","true","","","","","","",""
"div","H","1","20","scrollbar","Required ARA properties and states was not tested because the scrollbar widget is hidden from assistive technologies and/or not visible on screen.","","none","scrollbar","WIDGET_6_HIDDEN","","","","","","","","",""
"div","H","1","26","checkbox","Required ARA properties and states was not tested because the checkbox widget is hidden from assistive technologies and/or not visible on screen.","","none","checkbox","WIDGET_6_HIDDEN","","","","","","","","true",""
"div","H","1","30","menuitemcheckbox","Required ARA properties and states was not tested because the menuitemcheckbox widget is hidden from assistive technologies and/or not visible on screen.","","none","menuitemcheckbox","WIDGET_6_HIDDEN","","","","","","","","true",""
"div","H","1","35","option","Required ARA properties and states was not tested because the option widget is hidden from assistive technologies and/or not visible on screen.","","none","option","WIDGET_6_HIDDEN","","","","","","","","","false"
"div","H","1","39","slider","Required ARA properties and states was not tested because the slider widget is hidden from assistive technologies and/or not visible on screen.","","none","slider","WIDGET_6_HIDDEN","","","","","","","","",""
"div","H","1","43","switch","Required ARA properties and states was not tested because the switch widget is hidden from assistive technologies and/or not visible on screen.","","none","switch","WIDGET_6_HIDDEN","","","","","","","","true",""
